Datum (MEZ),Preis [EUR/kWh],Last [kWh],Preis Forecast [EUR/kWh],tau
2020-05-01 04:00:00+01:00,0.0123,82.4234,-0.01851326834391387,2020-05-01 02:00:00+01:00
2020-05-01 05:00:00+01:00,0.012700000000000001,80.1044,0.05428195508117955,2020-05-01 02:00:00+01:00
2020-05-01 06:00:00+01:00,0.0075,82.4932,-0.004905342941333905,2020-05-01 02:00:00+01:00
2020-05-01 07:00:00+01:00,-0.00785,87.4278,0.02992164755969993,2020-05-01 02:00:00+01:00
2020-05-01 08:00:00+01:00,-0.012150000000000001,96.7308,-0.04542609073767979,2020-05-01 02:00:00+01:00
2020-05-01 09:00:00+01:00,-0.014450000000000001,102.881,-0.005625735192006005,2020-05-01 02:00:00+01:00
2020-05-01 10:00:00+01:00,-0.012350000000000002,106.0476,-0.06805809156490401,2020-05-01 02:00:00+01:00
2020-05-01 11:00:00+01:00,0.00175,108.0668,0.06898309090001764,2020-05-01 02:00:00+01:00
2020-05-01 12:00:00+01:00,-0.0102,105.90039999999999,0.056687123974638196,2020-05-01 02:00:00+01:00
2020-05-01 13:00:00+01:00,-0.0103,99.8298,0.002594308911646713,2020-05-01 02:00:00+01:00
2020-05-01 14:00:00+01:00,-0.0002,99.023,-0.06735166677924007,2020-05-01 02:00:00+01:00
2020-05-01 15:00:00+01:00,0.00975,96.482,0.05970053169012579,2020-05-01 02:00:00+01:00
2020-05-01 16:00:00+01:00,0.0394,97.8192,0.0769547795990087,2020-05-01 02:00:00+01:00
2020-05-01 17:00:00+01:00,0.09495,100.5918,-0.038508953100540866,2020-05-01 02:00:00+01:00
2020-05-01 18:00:00+01:00,0.1175,103.3238,0.0894110438372362,2020-05-01 02:00:00+01:00
2020-05-01 19:00:00+01:00,0.14215,101.3022,0.12469024353236385,2020-05-01 02:00:00+01:00
2020-05-01 20:00:00+01:00,0.1344,98.37360000000001,0.23243298588889294,2020-05-01 02:00:00+01:00
2020-05-01 21:00:00+01:00,0.10455,97.61160000000001,0.10561034565978394,2020-05-01 02:00:00+01:00
2020-05-01 22:00:00+01:00,0.08,90.367,0.10913596032082784,2020-05-01 02:00:00+01:00
2020-05-01 23:00:00+01:00,0.061,82.9468,-0.0261750922881525,2020-05-01 02:00:00+01:00
2020-05-02 00:00:00+01:00,0.05,79.2734,-0.07546947089133042,2020-05-01 02:00:00+01:00
2020-05-02 01:00:00+01:00,0.05,77.13380000000001,0.20139152586825748,2020-05-01 02:00:00+01:00
2020-05-01 03:00:00+01:00,0.0078,82.9602,0.0235888640593339,2020-05-01 03:00:00+01:00
2020-05-01 04:00:00+01:00,0.0123,82.4234,0.03653920938302185,2020-05-01 03:00:00+01:00
2020-05-01 05:00:00+01:00,0.012700000000000001,80.1044,0.01309691403240914,2020-05-01 03:00:00+01:00
2020-05-01 06:00:00+01:00,0.0075,82.4932,-0.013528339985252678,2020-05-01 03:00:00+01:00
2020-05-01 07:00:00+01:00,-0.00785,87.4278,0.004543296550105068,2020-05-01 03:00:00+01:00
2020-05-01 08:00:00+01:00,-0.012150000000000001,96.7308,0.01490566710864006,2020-05-01 03:00:00+01:00
2020-05-01 09:00:00+01:00,-0.014450000000000001,102.881,-0.05608597108719386,2020-05-01 03:00:00+01:00
2020-05-01 10:00:00+01:00,-0.012350000000000002,106.0476,-0.058387342223840746,2020-05-01 03:00:00+01:00
2020-05-01 11:00:00+01:00,0.00175,108.0668,-0.0071492894740068785,2020-05-01 03:00:00+01:00
2020-05-01 12:00:00+01:00,-0.0102,105.90039999999999,0.04321114608729592,2020-05-01 03:00:00+01:00
2020-05-01 13:00:00+01:00,-0.0103,99.8298,0.007283543157612048,2020-05-01 03:00:00+01:00
2020-05-01 14:00:00+01:00,-0.0002,99.023,-0.07591222121934772,2020-05-01 03:00:00+01:00
2020-05-01 15:00:00+01:00,0.00975,96.482,-0.05896872821861609,2020-05-01 03:00:00+01:00
2020-05-01 16:00:00+01:00,0.0394,97.8192,0.09883399464379701,2020-05-01 03:00:00+01:00
2020-05-01 17:00:00+01:00,0.09495,100.5918,0.032898714458751206,2020-05-01 03:00:00+01:00
2020-05-01 18:00:00+01:00,0.1175,103.3238,0.07270689291426483,2020-05-01 03:00:00+01:00
2020-05-01 19:00:00+01:00,0.14215,101.3022,0.24647334795356218,2020-05-01 03:00:00+01:00
2020-05-01 20:00:00+01:00,0.1344,98.37360000000001,0.11176135696089022,2020-05-01 03:00:00+01:00
2020-05-01 21:00:00+01:00,0.10455,97.61160000000001,0.08138933080812702,2020-05-01 03:00:00+01:00
2020-05-01 22:00:00+01:00,0.08,90.367,0.06725532954199911,2020-05-01 03:00:00+01:00
2020-05-01 23:00:00+01:00,0.061,82.9468,0.19232010450437498,2020-05-01 03:00:00+01:00
2020-05-02 00:00:00+01:00,0.05,79.2734,-0.1725004998466006,2020-05-01 03:00:00+01:00
2020-05-02 01:00:00+01:00,0.05,77.13380000000001,0.023095907783363918,2020-05-01 03:00:00+01:00
2020-05-02 02:00:00+01:00,0.04,76.4916,-0.10364200617676447,2020-05-01 03:00:00+01:00
2020-05-01 04:00:00+01:00,0.0123,82.4234,0.008906380281589358,2020-05-01 04:00:00+01:00
2020-05-01 05:00:00+01:00,0.012700000000000001,80.1044,0.004219886277138679,2020-05-01 04:00:00+01:00
2020-05-01 06:00:00+01:00,0.0075,82.4932,0.03016594933735702,2020-05-01 04:00:00+01:00
2020-05-01 07:00:00+01:00,-0.00785,87.4278,0.019798048124512795,2020-05-01 04:00:00+01:00
